"Hover Color","Hover Color"
"Text","Text"
"Load default template","Load default template"
"critical","critical"
"major","major"
"minor","minor"
"notice","notice"
" and "," and "
"Go to messages inbox","Go to messages inbox"
"Go to notifications","Go to notifications"
"Latest Message:","Latest Message:"
"Read details","Read details"
"Page","Page"
"Previous page","Previous page"
"Next page","Next page"
"of %s pages","of %s pages"
"View","View"
"per page","per page"
"Total %d records found","Total %d records found"
"Export to:","Export to:"
"Add to Cart","Add to Cart"
"Featured Product","Featured Product"
"View Detail","View Detail"
"Featured Category","Featured Category"
"Header","Header"
"Footer","Footer"
